id_mov,data,ano_mes,tipo,valor,valor_captacao,valor_resgate,cliente_id,nome,segmento,status,data_entrada,produto,classe,taxa_admin_aa,meta_captacao_mes,canal
M0001,2025-02-16,2025-02,resgate,21552.35,0.0,21552.35,C021,Elena Costa,Varejo,ativo,2024-06-02,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0002,2025-03-13,2025-03,captacao,20929.45,20929.45,0.0,C035,Nicolas Santos,Private,ativo,2024-03-11,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0003,2025-02-27,2025-02,captacao,62717.41,62717.41,0.0,C013,Iris Rodrigues,Private,ativo,2023-01-22,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0004,2025-03-03,2025-03,resgate,38411.32,0.0,38411.32,C030,Elena Silva,Varejo,ativo,2023-09-18,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0005,2025-02-12,2025-02,captacao,62445.56,62445.56,0.0,C038,Elena Souza,Varejo,inativo,2023-08-08,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0006,2025-05-28,2025-05,captacao,32335.7,32335.7,0.0,C016,Gabriela Costa,Varejo,inativo,2024-04-04,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0007,2025-06-25,2025-06,captacao,63901.95,63901.95,0.0,C035,Nicolas Santos,Private,ativo,2024-03-11,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
M0008,2025-04-05,2025-04,captacao,40970.9,40970.9,0.0,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0009,2025-04-03,2025-04,resgate,56877.0,0.0,56877.0,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0010,2025-07-18,2025-07,captacao,37725.03,37725.03,0.0,C016,Gabriela Costa,Varejo,inativo,2024-04-04,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0011,2025-04-26,2025-04,resgate,60287.63,0.0,60287.63,C022,Carla Pereira,Varejo,inativo,2024-06-25,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0012,2025-03-25,2025-03,captacao,39516.44,39516.44,0.0,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
M0013,2025-03-12,2025-03,captacao,41813.55,41813.55,0.0,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0014,2025-07-14,2025-07,captacao,55558.0,55558.0,0.0,C006,Lucas Souza,Alta Renda,inativo,2023-10-02,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0015,2025-04-14,2025-04,captacao,25190.28,25190.28,0.0,C036,Carla Nascimento,Private,inativo,2024-05-31,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0016,2025-04-19,2025-04,captacao,28793.0,28793.0,0.0,C017,Gabriela Oliveira,Private,ativo,2023-06-20,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Parceiro
M0017,2025-07-04,2025-07,resgate,25928.29,0.0,25928.29,C013,Iris Rodrigues,Private,ativo,2023-01-22,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0018,2025-05-04,2025-05,resgate,58242.22,0.0,58242.22,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Fundo Multimercado,Multimercado,1.36,1200000.0,Parceiro
M0019,2025-02-28,2025-02,resgate,15175.88,0.0,15175.88,C009,Carla Costa,Varejo,ativo,2023-12-15,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0020,2025-01-14,2025-01,resgate,56095.97,0.0,56095.97,C007,Diego Rodrigues,Varejo,inativo,2023-09-27,Tesouro Selic,Renda Fixa,1.67,500000.0,App
M0021,2025-05-01,2025-05,captacao,35797.04,35797.04,0.0,C031,Lucas Costa,Alta Renda,inativo,2023-11-13,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
M0022,2025-04-13,2025-04,resgate,6852.49,0.0,6852.49,C037,Nicolas Nascimento,Alta Renda,inativo,2023-03-21,Fundo DI,Renda Fixa,0.74,1200000.0,Assessor
M0023,2025-03-05,2025-03,resgate,45087.0,0.0,45087.0,C040,Felipe Lima,Private,inativo,2023-01-30,Tesouro Selic,Renda Fixa,1.67,500000.0,Assessor
M0024,2025-04-08,2025-04,resgate,72771.85,0.0,72771.85,C020,Bruno Rodrigues,Alta Renda,ativo,2023-11-18,Fundo Multimercado,Multimercado,1.36,1200000.0,App
M0025,2025-01-16,2025-01,resgate,75859.63,0.0,75859.63,C017,Gabriela Oliveira,Private,ativo,2023-06-20,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,Assessor
M0026,2025-03-03,2025-03,captacao,44607.39,44607.39,0.0,C029,Felipe Lima,Private,ativo,2023-07-02,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0027,2025-03-16,2025-03,resgate,19286.62,0.0,19286.62,C005,Gabriela Lima,Varejo,inativo,2023-06-25,Renda Fixa Credito,Renda Fixa,0.33,1200000.0,App
M0028,2025-06-10,2025-06,resgate,34585.98,0.0,34585.98,C018,Hugo Almeida,Varejo,inativo,2024-05-13,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0029,2025-01-16,2025-01,resgate,63617.66,0.0,63617.66,C019,Diego Lima,Private,inativo,2023-03-24,Fundo Multimercado,Multimercado,1.36,1200000.0,Assessor
M0030,2025-04-30,2025-04,resgate,56278.96,0.0,56278.96,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Assessor
M0031,2025-06-03,2025-06,resgate,71264.41,0.0,71264.41,C002,Iris Rodrigues,Private,ativo,2024-03-08,Acoes Brasil,Renda Variavel,1.65,500000.0,Parceiro
M0032,2025-06-22,2025-06,resgate,79966.22,0.0,79966.22,C012,Olivia Rodrigues,Private,inativo,2023-06-19,Fundo DI,Renda Fixa,0.74,1200000.0,App
M0033,2025-06-16,2025-06,resgate,73369.75,0.0,73369.75,C032,Gabriela Pereira,Varejo,ativo,2023-11-08,Acoes Brasil,Renda Variavel,1.65,500000.0,App
M0034,2025-03-31,2025-03,resgate,27331.36,0.0,27331.36,C027,Nicolas Oliveira,Varejo,inativo,2023-04-21,Fundo DI,Renda Fixa,0.74,1200000.0,Parceiro
