cliente_id,segmento_padrao,status_padrao,data_entrada,cpf_hash,email_hash,telefone_hash
C001,Private,ativo,2023-08-12,03d7d3e4d78055876de691ac,b6bd8a71d4a23205e7faceb7,ff707f68e0a2f6cc4ff97dfa
C002,Private,ativo,2024-03-08,54f2fbe32504c95a25b76216,12b40717e2bd6dbba67f9716,7513bf212d0ade5f773ce2d7
C003,Private,inativo,2024-04-15,0573670607d938d03e07746b,6623b40f180c384360dba314,0392d6bdf6dc7ad32e921651
C004,Alta Renda,ativo,2023-08-27,daa1575c64aa3c1d0bd546f3,84baa95927720273c6e4bbf0,9216c6d28e4b4e219352a31c
C005,Varejo,inativo,2023-06-25,9aec12a35fef3a7156039ee4,54e526bcb43dcb17eab1891a,ccd1d16e21baa96e2302b8da
C006,Alta Renda,inativo,2023-10-02,2928dd2a137fa9af41593b23,54e526bcb43dcb17eab1891a,d2c9a09917af41d00e283f6b
C007,Varejo,inativo,2023-09-27,edcbbdbc12dd6a0900156e49,b90b0ba7cdd6fb6d9e25f411,1375a6561cb3238786e1acaf
C008,Private,ativo,2023-06-06,43dd4ef552288fdacfafacf8,73f997b393f203d277a6b37b,8f6c25e260a4900aa04fbf4d
C009,Varejo,ativo,2023-12-15,e93589c6cb94fea35dfba54e,389acbb434257df154d12e8e,15df87bc20902a70285e736d
C010,Alta Renda,inativo,2024-06-03,b00ab8b4a468dba8b4e977ab,9ccea7d3fc0467492b836989,1f457a526e297d438d6bf5c0
C011,Alta Renda,ativo,2023-03-01,12613d18b46403a2a312d1ea,bfdd273f4c382cca2e1dd0ee,0631b78565da9bd85f4058f6
C012,Private,inativo,2023-06-19,4f0725e849aaac48c9ed5890,081d8ab5676d347b74a4f52c,cf1446b3983e25b28baaeb2a
C013,Private,ativo,2023-01-22,bca3c406a2b3131ea9be0199,64e482525d458622a0f8ab12,4cbf972f1ee51331aad4ebac
C014,Private,inativo,2023-09-01,c23009d45972e6973fe104a2,292e370cbcb0d279f91eafc3,a191ca39d8ed83035ef54909
C015,Private,ativo,2024-03-17,9412f7faf5797a75c2cc04ce,1e5ebb603a54ff00df37d445,8d35386a486d8fe6a9aa5f13
C016,Varejo,inativo,2024-04-04,e7597aee36accb7172f9db05,25dc76ef9283e55b6744c8d3,f8a8545bf66429bf8a9762e6
C017,Private,ativo,2023-06-20,c0822a1a5ecb149db9f080a2,7bb241ae5d61c10380e1c869,a5a7c370b0e05403f00f0bb8
C018,Varejo,inativo,2024-05-13,64bdce391698f77e6ff44657,f72626d4a933c1109bdd06a0,
C019,Private,inativo,2023-03-24,bf09866e043eb8d2e667fdaf,9f4ac3e794b02883e95cd8c1,f9469ec30fdc0450d196d383
C020,Alta Renda,ativo,2023-11-18,4c55596a1e7bfa94a26b03d1,ce4b7cdb82bd96bce8f9edce,1c339c6ceac1e91f650aa1f9
C021,Varejo,ativo,2024-06-02,2806573518ed736122f187d8,5c4d5447153d726b61f3213b,2bfa1554e2af46a944c4524f
C022,Varejo,inativo,2024-06-25,75d57065456d55614c83617f,d2296bd2afdb9dc9f8137948,83d5df0bea565e7a2f6fe3d4
C023,Varejo,ativo,2023-12-18,8d747393366db5db36bb6457,6872e271962067eaf5d2d58c,120e1ba4a73c9063b9a8bc4b
C024,Alta Renda,ativo,2023-09-26,76dd6699084c8cff6a843031,92a62ddb08b738a28d8d5dc0,aec27113398171275731f676
C025,Varejo,inativo,2023-06-01,175a1313f50b70db47fd7081,b106e65fe399c403d25f2b73,dba634a7d8b4d5c185999352
C026,Varejo,inativo,2023-06-08,3920a8ca4cee445525c20fba,c06fa82cec83fe55c8b4e674,
C027,Varejo,inativo,2023-04-21,ce2fc878daa91b727414302b,c467c1a3282076d4836f8ebf,9ce09d5ba4e12a78657712bd
C028,Private,inativo,2023-07-17,c7b9c1079553e99fdc260369,3631446135fdef528e68cbf3,2258144644b0f304509f2d7e
C029,Private,ativo,2023-07-02,876ade03c3b8c8a29efd086a,67b6d9d5cd68e7f5ad5e862d,b6d8aef587f715fd3f39ac47
C030,Varejo,ativo,2023-09-18,fa68291bca40cf29bdf38014,37bbd779b21b3047cef9ebda,
C031,Alta Renda,inativo,2023-11-13,ecf1e62b9702d74aebc76e0e,c3fb78a2851763e4131d27a2,d479cc6c459c2cb855a2bcef
C032,Varejo,ativo,2023-11-08,8346a6bb9313d944638bee59,eb4c5827141fa7b2e3222381,
C033,Varejo,inativo,2023-03-28,651fd8901cdbc14abf1a3892,ffc27a032f8fffb33ddbe559,
C034,Private,ativo,2024-05-01,9eb4b45c79a7af10527f1de5,b985197e27e66a97e385f34a,6786ccedd2c59bfc40b3509f
C035,Private,ativo,2024-03-11,9a3fbd2e6080c3f8d8f3b37d,bd182a3d37567a1e37505e25,744869d6e769b2798f4f293b
C036,Private,inativo,2024-05-31,6d57af6d3b8c451e3d967026,89e532d968d47d9ea27d8f88,a509aaf74cdda544c67859c4
C037,Alta Renda,inativo,2023-03-21,3af84e12635933713fa173a5,e53021688808455b52c9184e,016e1cf579b62d041fba9de0
C038,Varejo,inativo,2023-08-08,1b4979ff5f97e55a46d1540c,fc7043789aad7dbf0e222a17,
C039,Varejo,inativo,2024-05-03,482f146d309ef652db2ad171,e28256ba8942fee8dfe4f631,71b7ec36b2888cef6d8ddfc5
C040,Private,inativo,2023-01-30,21ea5dec1823053da27164e2,200c7cbd9ec0c9166a1127c9,677b753d7b5cc959a801e90c
